Timestamp,Event Message
14:13:57,Fire detected
14:14:00,Fire detected
14:14:03,Fire detected
14:14:07,Fire detected
14:14:10,Fire detected
14:14:48,Fire detected
14:14:58,Fire detected
16:55:58,Fire detected
16:56:01,Fire detected
16:56:04,Fire detected
16:56:07,Fire detected
16:56:11,Fire detected
16:56:14,Fire detected
16:58:02,Fire detected
16:58:05,Fire detected
16:58:08,Fire detected
16:58:11,Fire detected
11:55:53,Fire detected
11:55:57,Fire detected
11:56:00,Fire detected
17:45:04,Fire detected
17:45:07,Fire detected
17:45:10,Fire detected
17:45:13,Fire detected
17:45:16,Fire detected
17:45:20,Fire detected
17:45:23,Fire detected
17:45:26,Fire detected
17:45:29,Fire detected
17:45:32,Fire detected
18:29:57,Fire detected
18:31:24,Fire detected
18:31:27,Fire detected
18:31:30,Fire detected
18:31:33,Fire detected
18:31:37,Fire detected
18:31:40,Fire detected
18:31:43,Fire detected
18:31:46,Fire detected
18:31:49,Fire detected
18:31:52,Fire detected
18:31:55,Fire detected
18:31:59,Fire detected
18:32:02,Fire detected
19:04:29,Fire detected
19:04:41,Fire detected
19:05:37,Fire detected
19:05:40,Fire detected
19:05:43,Fire detected
19:05:46,Fire detected
19:05:50,Fire detected
19:05:53,Fire detected
19:05:56,Fire detected
19:05:59,Fire detected
19:06:03,Fire detected
19:06:06,Fire detected
19:06:09,Fire detected
19:06:12,Fire detected
